promotion_id,promotion_type,description,discount_amount,start_date,end_date,is_active
26,Hydrocodone Bitartrate And Acetaminophen,aggregate interactive models,58,4/19/2024,4/20/2024,true
27,Nipent,unleash killer relationships,12,11/2/2024,10/7/2024,false
28,Simcor,expedite synergistic infomediaries,37,7/16/2024,5/7/2024,true
29,Heavy Flow,benchmark impactful vortals,12,3/19/2024,6/9/2024,true
30,Ladies Speed Stick,incubate intuitive infrastructures,51,10/31/2024,2/3/2024,false
31,Antiseptic,leverage turn-key users,34,7/21/2024,6/19/2024,true
32,Candida albicans,scale synergistic ROI,58,7/9/2024,6/17/2024,true
33,IMITREX,orchestrate turn-key ROI,25,1/31/2024,9/8/2024,false
34,Complete Flu Care 4 Kids,optimize seamless eyeballs,20,1/23/2024,10/12/2024,true
35,Depakote,synthesize clicks-and-mortar solutions,13,4/13/2024,4/10/2024,true
36,Olanzapine,facilitate mission-critical solutions,29,12/11/2023,2/19/2024,true
37,ceftriaxone,unleash interactive content,47,7/5/2024,6/22/2024,true
38,Moexipril Hydrochloride,syndicate B2C e-tailers,43,4/1/2024,9/15/2024,false
39,Diarrhea Vomiting,seize back-end systems,11,6/20/2024,9/22/2024,true
40,Lamotrigine,brand one-to-one interfaces,43,3/2/2024,10/6/2024,false
41,CVS Pharmacy,utilize impactful convergence,24,9/12/2024,5/29/2024,false
42,VOLTAREN,iterate integrated partnerships,52,8/11/2024,9/2/2024,true
43,Paricalcitol,whiteboard one-to-one synergies,22,1/25/2024,6/29/2024,false
44,FACE IT AQUA TINTED BB SPF 20 PA 02,whiteboard seamless models,21,3/23/2024,3/2/2024,true
45,"Sprains, Tendonitis",unleash world-class technologies,57,4/28/2024,5/28/2024,true
46,Levetiracetam,embrace plug-and-play bandwidth,29,10/2/2024,4/28/2024,false
47,Alprazolam,cultivate user-centric infrastructures,29,4/11/2024,12/20/2023,false
48,Medicated Pain,enhance frictionless convergence,56,6/2/2024,1/20/2024,true
49,Neomycin and Polymyxin B Sulfates and Hydrocortisone,expedite value-added platforms,43,3/13/2024,10/18/2024,true
50,Treatment Set TS344001,productize vertical interfaces,45,10/12/2024,2/28/2024,true
51,Triamcinolone Acetonide,transform next-generation interfaces,54,3/3/2024,2/13/2024,false
52,Atenolol,architect dynamic methodologies,23,11/25/2023,10/5/2024,true
53,Doxycycline,whiteboard next-generation portals,54,7/1/2024,12/17/2023,true
54,Neutrogena Oil Free Acne Wash,expedite user-centric convergence,29,7/7/2024,6/26/2024,false
55,napoleon PERDIS ADVANCED MINERAL MAKEUP BROAD SPECTRUM SPF 15 Look 2,reintermediate integrated channels,36,5/30/2024,7/29/2024,false
56,The Cover Classic Foundation,embrace B2B platforms,34,11/3/2023,9/6/2024,true
57,Smart Sense Hydrocortisone,expedite end-to-end content,31,7/5/2024,5/16/2024,false
58,Horseradish,redefine granular relationships,17,8/18/2024,10/31/2024,false
59,Nivea A Kiss of Natural Volume Glossy Lip Care,benchmark viral infomediaries,23,10/31/2024,10/14/2024,true
60,Erythrocin Stearate,streamline distributed relationships,19,8/5/2024,4/10/2024,true
61,Prochlorperazine Maleate,extend integrated infrastructures,43,9/17/2024,8/14/2024,true
62,Angeliq,transform back-end e-tailers,14,3/9/2024,2/4/2024,false
63,Multi Antibiotic with Pain Relief,visualize 24/365 solutions,50,8/3/2024,10/16/2024,false
64,LBEL,incentivize enterprise methodologies,29,2/10/2024,8/29/2024,true
65,PEGINTRON,transition mission-critical metrics,32,7/24/2024,12/15/2023,true
66,hydrocodone bitartrate and acetaminophen,aggregate interactive infomediaries,12,5/20/2024,11/19/2023,false
67,Pleo San Ger,seize virtual technologies,58,12/30/2023,6/15/2024,true
68,Besivance,redefine leading-edge portals,13,4/19/2024,12/7/2023,false
69,CEFOTAXIME,monetize B2C supply-chains,56,3/10/2024,6/1/2024,true
70,acetaminophen and codeine phosphate,enable real-time ROI,42,6/19/2024,12/1/2023,true
71,By Pharmicell Lab Luxury Cell Performance Serum,revolutionize frictionless content,20,5/21/2024,12/16/2023,true
72,J-TAN,target best-of-breed e-tailers,60,6/21/2024,9/6/2024,true
73,Senna Plus,expedite distributed content,24,2/28/2024,7/6/2024,true
74,Dantrolene Sodium,leverage rich web-readiness,19,4/11/2024,9/16/2024,true
75,Clean Choice Alcohol Sanitizer,optimize granular infrastructures,56,12/28/2023,8/3/2024,false
76,acetaminophen,incubate dynamic niches,14,5/7/2024,5/13/2024,true
77,Oxybutynin Chloride,mesh cross-media e-business,19,2/19/2024,12/14/2023,true
78,Valsartan and Hydrochlorothiazide,innovate wireless paradigms,38,4/2/2024,5/30/2024,false
79,Lithium Carbonate,strategize end-to-end partnerships,43,11/26/2023,4/6/2024,false
80,Metoprolol Succinate,iterate sexy portals,56,5/2/2024,7/26/2024,true
81,Sensodyne,implement out-of-the-box supply-chains,36,6/11/2024,12/6/2023,false
82,Ondansetron,brand wireless bandwidth,58,9/19/2024,4/23/2024,false
83,Synthroid,brand integrated initiatives,26,1/30/2024,3/16/2024,true
84,Naproxen Sodium,revolutionize holistic experiences,29,12/17/2023,1/6/2024,true
85,Humulin,leverage 24/7 e-commerce,33,8/6/2024,9/12/2024,false
86,edarbi,revolutionize plug-and-play users,56,1/15/2024,9/11/2024,true
87,Coconut Vanilla Hand Sanitizer,grow 24/7 deliverables,54,4/12/2024,10/4/2024,false
88,body luxuries Vanilla Frosting Antibacterial Hand Sanitizer,engage granular web-readiness,12,6/5/2024,1/13/2024,false
89,Jasmine Eco Mist,deploy compelling infrastructures,21,1/10/2024,9/12/2024,false
90,Hibiclens,optimize scalable networks,45,4/23/2024,6/5/2024,false
91,FLOVENT,facilitate seamless bandwidth,41,7/10/2024,10/14/2024,true
92,Sandostatin LAR Depot Demonstration Kit,orchestrate cross-platform vortals,59,2/11/2024,2/16/2024,true
93,Selegiline Hydrochloride,incentivize compelling users,31,4/29/2024,3/8/2024,false
94,Atenolol,unleash leading-edge e-business,56,2/7/2024,8/11/2024,true
95,YOUTH SURGE,grow vertical schemas,32,4/14/2024,12/8/2023,false
96,Bactrim DS,seize seamless synergies,44,1/8/2024,3/18/2024,false
97,Asthma,utilize visionary e-tailers,51,7/18/2024,11/8/2023,false
98,Calcarea Fluorica,facilitate holistic supply-chains,46,9/9/2024,6/23/2024,true
99,Diphenhydramine Hcl,transform holistic applications,55,12/5/2023,9/1/2024,false
100,Nazal,deploy out-of-the-box networks,50,4/30/2024,1/10/2024,true
